,gold_present,wrong_present,gold2_present,wrong2_present,out,out2,order,question1,question2,f11,f12,ac,ac2,judge,og_accuracy,cf_accuracy,orig_comp,cf_comp
2wiki-82306e0e088111ebbd6dac1f6bf848b6,True,False,True,False,Allen Holden,Ainhoa Artolazábal,orig,"Who was born earlier, Allen Holden or Ainhoa Artolazábal?","Who was born later, Allen Holden or Ainhoa Artolazábal?",1.0,1.0,1.0,1.0,Correct,1,1,earlier,later
2wiki-1c700497085211ebbd58ac1f6bf848b6,True,False,True,False,Gerd Cintl,Léa Drucker,switched,"Who was born earlier, Gerd Cintl or Léa Drucker?","Who was born later, Gerd Cintl or Léa Drucker?",1.0,1.0,1.0,1.0,Correct,1,1,earlier,later
2wiki-7a6f7a0208cc11ebbd93ac1f6bf848b6,True,False,True,False,"Clark Kerr ( May 17, 1911 – December 1",François Barrer( François Barrier) was born,switched,"Who was born first, Clark Kerr or François Barrer?","Who was born last, Clark Kerr or François Barrer?",0.33333333333333337,0.25,0.0,0.0,Correct,1,1,first,last
hotpot-5ac538b25542994611c8b435,True,False,True,False,The World's Greatest Athlete,"Invincible (2006) was released last,",orig,Was The World\'s Greatest Athlete or Invincible released first?,Was The World\'s Greatest Athlete or Invincible released last?,0.6666666666666665,0.2857142857142857,0.0,0.0,Correct,1,1,first,last
2wiki-f9ab5ccb08d911ebbd9cac1f6bf848b6,True,False,False,False,Yevgeny Primakov Jr. is younger,,orig,"Who is younger, Steve Courtin or Yevgeny Primakov Jr.?","Who is older, Steve Courtin or Yevgeny Primakov Jr.?",0.4444444444444444,0.0,0.0,0.0,Doubled_or_neither,1,0,younger,older
2wiki-6587a07d08b011ebbd84ac1f6bf848b6,True,False,True,False,Roxanne Quimby,"Richard Goodenough ""Burt"" Rice (March",switched,"Who was born later, Richard Rice (Athlete) or Roxanne Quimby?","Who was born earlier, Richard Rice (Athlete) or Roxanne Quimby?",1.0,0.5714285714285715,1.0,0.0,Correct,1,1,later,earlier
2wiki-5e928d2308d811ebbd9aac1f6bf848b6,True,False,True,False,"Sir James Clark, 1� 1st Baronet","Anthony Peter Khoraish, Patriarch Moran Mor",orig,"Who died earlier, Sir James Clark, 1St Baronet or Anthony Peter Khoraish?","Who died later, Sir James Clark, 1St Baronet or Anthony Peter Khoraish?",0.5,0.6,0.0,0.0,Correct,1,1,earlier,later
2wiki-708310f5086c11ebbd61ac1f6bf848b6,False,False,True,False,,Otto Lagerfeld,switched,"Who died later, Otto Lagerfeld or Reed Bullen?","Who died earlier, Otto Lagerfeld or Reed Bullen?",0.0,1.0,0.0,1.0,Doubled_or_neither,0,1,later,earlier
hotpot-5a7a07525542996a35c17090,True,False,False,True,Arthur Edmund Carewe was born first.,Arthur Edmund Carewe.,switched,Who was born first A. I. Bezzerides or Arthur Edmund Carewe?,Who was born last A. I. Bezzerides or Arthur Edmund Carewe?,0.6,0.0,0.0,0.0,Fail,1,0,first,last
2wiki-65e5e099087811ebbd67ac1f6bf848b6,True,False,False,True,"Glenn H. James ( April 19, 1890 –","Glenn H. James ( April 19, 1890 –",switched,Who was born first out of Mike Delany and Glenn H. James?,Who was born last out of Mike Delany and Glenn H. James?,0.30769230769230765,0.0,0.0,0.0,Fail,1,0,first,last
2wiki-89a5a0b2086511ebbd5eac1f6bf848b6,False,False,True,True,,Samuel Musgrave was born before Capri Cafaro,switched,"Who was born first, Capri Cafaro or Samuel Musgrave?","Who was born last, Capri Cafaro or Samuel Musgrave?",0.0,0.4444444444444445,0.0,0.0,Doubled_or_neither,0,0,first,last
2wiki-0ae07daa08f711ebbdaaac1f6bf848b6,False,False,False,True,,Corinne De Vailly was born earlier,orig,"Who was born earlier, Derrick Wells or Corinne De Vailly?","Who was born later, Derrick Wells or Corinne De Vailly?",0.0,0.0,0.0,0.0,Doubled_or_neither,0,0,earlier,later
2wiki-efeac0ca08c211ebbd8dac1f6bf848b6,True,False,True,False,Harry R. Harr,Werner Lüdi,orig,Was Harry R. Harr or Werner Lüdi born first?,Was Harry R. Harr or Werner Lüdi born last?,0.5714285714285715,1.0,0.0,1.0,Correct,1,1,first,last
hotpot-5adcbbf45542994d58a2f6b3,True,False,True,True,Mad,"Meatpaper was founded first, Mad was founded in",switched,Which magazine was founded first Meatpaper or Mad ?,Which magazine was founded last Meatpaper or Mad ?,1.0,0.19999999999999998,1.0,0.0,Doubled_or_neither,1,0,first,last
2wiki-7b48fde608f511ebbdaaac1f6bf848b6,True,False,False,True,Franck Jurietti. Based on the information,Franck Jurietti is not the name of,orig,"Who is younger, Franck Jurietti or Charles 'Pop' Fraser?","Who is older, Franck Jurietti or Charles 'Pop' Fraser?",0.4444444444444445,0.0,0.0,0.0,Fail,1,0,younger,older
